seed,method,n_iter,dataset,value
0,random,0,43551,0.6015429233313534
0,random,1,43551,0.1879324775932472
0,random,2,43551,0.0452830511452079
0,random,3,43551,0.0926570688591128
0,random,4,43551,0.0031015974569958
0,random,5,43551,0.1103367182965552
0,random,6,43551,0.0826286134929001
0,random,7,43551,0.0120053631562318
0,random,8,43551,0.0298054907027389
0,random,9,43551,0.0182433467032222
0,margin,0,43551,0.1697492326187371
0,margin,1,43551,0.3592353350899821
0,margin,2,43551,0.0242285732381159
0,margin,3,43551,0.4916542441833451
0,margin,4,43551,0.0793673389097855
0,margin,5,43551,0.3235013163223265
0,margin,6,43551,0.1129717587360812
0,margin,7,43551,0.0042030059378373
0,margin,8,43551,0.0
0,margin,9,43551,0.0627426272022546
0,confidence,0,43551,0.1697492326187371
0,confidence,1,43551,0.3592353350899821
0,confidence,2,43551,0.0242285732381159
0,confidence,3,43551,0.4916542441833451
0,confidence,4,43551,0.0793673389097855
0,confidence,5,43551,0.3235013163223265
0,confidence,6,43551,0.1129717587360812
0,confidence,7,43551,0.0042030059378373
0,confidence,8,43551,0.0
0,confidence,9,43551,0.0627426272022546
0,entropy,0,43551,0.1697492326187371
0,entropy,1,43551,0.3592353350899821
0,entropy,2,43551,0.0242285732381159
0,entropy,3,43551,0.4916542441833451
0,entropy,4,43551,0.0793673389097855
0,entropy,5,43551,0.3235013163223265
0,entropy,6,43551,0.1129717587360812
0,entropy,7,43551,0.0042030059378373
0,entropy,8,43551,0.0
0,entropy,9,43551,0.0627426272022546
0,kmeans,0,43551,0.2748131872674204
0,kmeans,1,43551,0.0365931374778116
0,kmeans,2,43551,0.0072666428570422
0,kmeans,3,43551,0.1783754109111856
0,kmeans,4,43551,0.0027169710325521
0,kmeans,5,43551,0.0617340988146642
0,kmeans,6,43551,0.0201524949885842
0,kmeans,7,43551,0.0245538849617944
0,kmeans,8,43551,0.0
0,kmeans,9,43551,0.0
0,wkmeans,0,43551,1.0125047803210987
0,wkmeans,1,43551,0.7179793373304912
0,wkmeans,2,43551,0.2123632462788048
0,wkmeans,3,43551,0.8560117141993162
0,wkmeans,4,43551,0.0327554656204213
0,wkmeans,5,43551,0.0107090341175996
0,wkmeans,6,43551,0.0008972892136464
